custom_form_id,custom_form_organizations,custom_form_class,custom_form_type_of_form,custom_form_name,custom_form_description,custom_form_header,custom_form_updated_at,custom_form_created_at,custom_form_custom_form,custom_form_workflows,custom_form_active,question_id,question_label,question_text,question_field_type,question_formik_key,question_value,question_active,question_number_questions_to_repeat,question_side_label,question_validation,answer_id,answer_label,answer_value,answer_text,answer_text_key,answer_text_question
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,1rz12ay7,Se siente usted tratada con menos cortesia en comparación con otras personas.,,select,treatLessCourtesy,,,,,,18iziwrn,5: Casi todos los días ,5,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,1rz12ay7,Se siente usted tratada con menos cortesia en comparación con otras personas.,,select,treatLessCourtesy,,,,,,36veqmax,4: Al menos una vez por semana ,4,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,1rz12ay7,Se siente usted tratada con menos cortesia en comparación con otras personas.,,select,treatLessCourtesy,,,,,,3ogymazc,3: Algunas veces al mes,3,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,1rz12ay7,Se siente usted tratada con menos cortesia en comparación con otras personas.,,select,treatLessCourtesy,,,,,,qb2n35bk,2: Algunas veces al año,2,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,1rz12ay7,Se siente usted tratada con menos cortesia en comparación con otras personas.,,select,treatLessCourtesy,,,,,,i4p2v64o,1: Menos de una vez al año,1,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,1rz12ay7,Se siente usted tratada con menos cortesia en comparación con otras personas.,,select,treatLessCourtesy,,,,,,1k55gewt,0: Nunca,0,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,zb30m0i5,Las gentes le brindan menos respeto en comparación con otras personas.,,select,treatLessRespect,,,,,,3l1tp1bz,5: Casi todos los días ,5,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,zb30m0i5,Las gentes le brindan menos respeto en comparación con otras personas.,,select,treatLessRespect,,,,,,1duci02f,4: Al menos una vez por semana ,4,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,zb30m0i5,Las gentes le brindan menos respeto en comparación con otras personas.,,select,treatLessRespect,,,,,,32nnwpv6,3: Algunas veces al mes,3,,,
GZHr67G0S1,['One World Surgery'],Discrimination Form,['Custom'],Discrimination Form (Spanish),Discrimination Form for OWS,Sección 1: Haga todas las siguientes preguntas en esta sección.,2021-07-27 01:04:29.070,2020-11-11 14:15:40.266,True,,,zb30m0i5,Las gentes le brindan menos respeto en comparación con otras personas.,,select,treatLessRespect,,,,,,qddvd7rd,2: Algunas veces al año,2,,,
